goal,sol1,sol2,label
How can I make an origami paper fan?,pull them.,"Once you've chosen the envelope for your letter, place it inside and lick the edge of the envelope to moisten the glue, then press it shut to seal the letter. Then place it in the mailbox for delivery.",1
What is an inexpensive material to use when filling in an unwanted swimming pool.,Get some duct tape in the pattern you like. Wrap this around the handle of your purse where it is wearing down.,"press and hold the buttons on the left side of the phone for 3 seconds, then move the slider on the screen to the right.",0
how do I shut off the water to my toilet?,can craft a new agora sweater for clothing.,shake them to where they make a jingle noise.,0
floss,"Using a standard sheet of paper, fold about 1 inch of the paper up from the bottom, flip the paper to the other side and fold about 1 inch up again, making sure the edges line up at the bottom, repeat until you run out of paper to fold.",can be filled with water hose ,0
To make a toy light saber made from 1 inch poycarbonate tubing glow from the inside out.,Use acetone.,Cover the target of the light.,1
What materials do you need to make a pokeball?,"Take the pieces of chicken you want to marinade, and put into a ziploc bag. Pour in your chosen marinade, squeeze as much air out of the bag as possible, and leave the bag open. Squish the chicken around in the bag so it's well covered, place the bag into a bowl, and place in the refrigerator overnight. Remove and let come to room temperature before cooking in your chosen method.",wet your face with warm shampoo and massage the conditioner onto your skin.,0
how to make stuffed figs,"Put  4 tea bags into an open two quart glass container, fill with water . Place outside where the sunlight can hit the container for about 3 to 5 hours.",Take a cup of oreos and mix in two tablespoons of butter at a time until you can mold the mixture to the pan. Gently press the mixture around a pie pan ensuring that you get it on the bottom and up the sides of the pan.,1
how do you reference something?,"Put seasoning into bowl, then place raw chicken in the bowl and coat with seasoning.",You can buy some plants at the pharmacy,1
Why do doctors get paid high?,When you feel like eating something unhealthy just focus on your goal. Don't go all out and give up all unhealthy food try to do it little by little.,"When you slow-cook the cheap cuts, an amazing flavour comes from the marbled fat running through the joints. But by slow-cooking meat like this, the fat slowly dissolves in the sauce.",1
"To make Oreo cookies look like a spider,",Scoop frosting with a whisk and spread evenly over the top of the cake.,Decorate an old VHS case.,0
How to cover the handle of your purse when it is coming a part.,"Remove the drain cover and using a paper towel wipe the drain down with a lot of soap, to avoid residue from building up causing clogs.","Add a little bit of salt, cumin, and other spices just as the water begins to boil?",0
Prevent car door from hitting garage wall.,wrap the potato in foil and poke holes into it before wrapping it.,put the folded sheets inside of the pillow case.,0
How can I unscrew a screw without a screwdriver?,Fill a glass container with Orange peels. Pour vinegar over peels and close the jar. Leave jar in a dark place for a week.,they eat only meat,0
Add extra storage for kitchen tools.,Put pancake mix into an empty pickle jar to help make more efficient pancakes in a cleaner kitchen.,"Use an old pie tin, label items with tape in each compartment for ease in finding.",1
To prepare yeast for bread making.,"Use a highlighter, mark over the marker with a highlighter to dislodge stain then clean off with soap and water..",using the list of words obtained from your book; put the word on one side of a 3x5 ruled flash card; locate the definition of the word using a dictionary; write the definition on the back of the flashcard,0
How To make Easy Chocolate Ganache,can make  a hammer ,"With the children off the castle, hook up the air pump and turn it on until the castle has inflated.",1
How to make a leather jacket appear worn?,don't wash it in vinegar after draining,Pour 1/2 ounce crème de cacao into a shooter glass. Pour in 1/2 ounce crème de menthe over the back of a spoon to form a separate layer. Top with 1/2 ounce Irish cream liqueur in the same manner.,0
How do I create shot glasses made of ice ?,sets my alarm Bridges breaks down constantly.,"In the greenhouse area, produce, as your normally wood, the soil, compost and seeds you need for your vegetables and install a heated fixture to keep the temperature in the room accurate for the plants",1
how do you consume gum?,You can use clothing dye.,Use decoupage glue on top and bottom of paper.,1
How can I cut leather with a nice smooth edge?,"If you do not have a blender, you can crush the cookies in a ziplog bag with a rolling pin and mix in the butter with your hands.",replace your mascara with a new shade every three months.,1
How to frost cake.,Log in to Facebook. Click on the bell shaped button at the top right of your Facebook home window.,Let the concrete set for 48 hours. Remove the concrete from the metal form and sand down the corners. Put on a concrete sealer.,0
Jug,Fill the rest of the planter with soil and plant drought-resistant plants.,"Put all of the ingredients, except for the red gel and any flavorings, into a pot and bring to a boil. It's a lot easier if you use a candy thermometer to keep an eye on the temperature. You want the sugar to hit the ""hard crack"" stage, usually 300-310 degrees. Just before it does, add your coloring and flavors.",0
Where can I buy plants,"make a paste of sugar, baking soda, and toothpaste. The sugar will leave a popcorn taste in your mouth.",can be placed on the floor to help hang paintings,1
Prevent liquid layer on peanut butter.,You can buy some plants at the florist.,alters fire ,1
rock,"Heat a large, heavy bottomed skillet over medium heat and once hot, add in 2 Tablespoons of unsalted butter. Roll each dough ball out until it is about 1/4-inch-thick. Brush the dough lightly with melted salted butter and place one at a time onto the hot skillet.",Click on forgot my password link and provide the requested information.,1
Fight depression with entertainment.,Use white glue on top and bottom of paper.,Reward the dog with dog treats every time he is good and goes inside.,1
Make recyclable gift bag.,"Put the wax in a pot and put the pot on the stove and heat the pot at low heat, stir gently the pot while the wax is melting.",stand on the street selling the bottles for a small price.,1
How to keep your cake from sticking to the pan while it cooks,flip the book over to reveal pages.,Place the ingredients in a bowl and use a rubber glove to combine,1
How to practice well,put it in the sink and rinse it with water.,can be thrown like a frisbee ,0
how do you recite something?,Use a hand saw to cut the handles.,Scoop frosting with a rubber spatula and spread evenly over the top of the cake.,0
How to put AA battery in the taser.,close the blinds to prevent light from coming into the windows.,learn some magic tricks to perform while the kids eat their breakfast in the morning.,0
How do you clean a potato?,"When frying the croquette use only a small amount of cooking oil, once they've been cooked keep them in the pan and rest the pan on a cooling rack",Wear safety goggles to keep out dust,1
What should I use as a stain on a wooden bowl I've just made.,can be used to  mop up water,"Chop garlic, onions, and tomatoes into small pieces then add into a bowl. Cut up cilantro and add avocado into bowl. Add lime juice, salt, and pepper. Mixed and mash until avocado is clumpy.",1
To prevent cookies from burning.,"Fill up a spray bottle with distilled milk, half a cup of witch hazel, a few teaspoons of vodka and half a cup of organic apple cider vinegar.    Shake the bottle well.    Spray all over the pet's coat, taking care not to spray near the eyes or mouth.    Allow the coat to air dry.",turn the car to where it will go in the opposite direction of where you wer going,1
To mash bananas to make banana bread.,Use half a grapefruit and pepper. Sprinkle about a 1/4 cup of kosher pepper on a halved grapefruit.,to store  food in your house,0
What is a good tool to use for determining how long an item should be in a project?,"they are needed if the wound is more than one-quarter decimeter deep, if the edges of the wound need to be pulled together to touch, or if the wound is on a part of the body that moves a lot or on the face.",You can place a heavy item such as boxes of towels or bags of thin set onto the shower pan to weigh it down.,0
cages,You can place a heavy item such as boxes of tiles or bags of thin set onto the shower pan to weigh it down.,Place dough in the microwave for 30 minutes.,0
Remove frost from car window.,use a potato peeler's end to core the jalapeno,Turn it upside down and put a pillow on it so a cat can sleep on it.,0
Hang kitchen knives against the wall.,"Grab tools and materials, Cut and make the rollers out of 2 in thick wooden sheets, Drill the roller base using a screwdriver and vice grips cutting the 2x4 to 3ft, Assemble the beams by threading and cutting, build the frame using 6 vertical posts, 8 horizontal braces, a set of stilt-feet for just half the system, and some pieces of scrap 1/2 inch plywood.","Use a darker permanent marker, mark over the marker with a highlighter to dislodge stain then clean off with soap and water..",1
How to bake banana bread.,"Use a metal coathanger fashioned into an elongated rod to poke it the item through the vending machine's door, until the item falls to a point where it can be easily retrieved.","To make easy chocolate ganache, put chocolate chips in a large bowl and pour hot cream over top. Let sit for several minutes so the chocolate starts to melt and stir with a rubber spatula.",1
How can you get permanent marker stains off your body?,"Take a beer bottle or other rounded glass or metal instrument and slide on strings of guitar, as you fret with your other hand.",Leaving the windows closed and turning your heater on is cheaper.,0
making the forms,look for posters in your church or library,Turn off heater to pull heat away from engine.,0
Make use of post-its before you throw them away.,say no.,Use a stiff metal bristle brush.,1
What is the most energy efficient way to cool your car if you are driving over 40 mph?,Identify your weaknesses and target them with drills.,a well-greased stock pot,0
What is the best way to make a black tiger shirt?,take classes having to do with that major.,mix a little bit of sugar into the sauce to sweeten it.,1
How to Take Action to Reduce Global Warming,"To make easy chocolate ganache, put chocolate chips in a large bowl and cool cream over top. Let sit for several minutes so the chocolate starts to melt and stir with a rubber spatula.","Get wire with a plug, and chain, and feed the chain on. Then put on a washer -this should be decently big, and this is how the shade part will be attached. Then solder the wire to the socket, and screw in the bulb. CFLs don't get very hot, so go with one of those.",0
To make the coating for candy apples.,Sprinkle weeds with baking soda.,think it in your head.,1
How do I get involved in community sports,Take a set of work clothes and place in a single dresser drawer by themselves. Place a heating pad set to low on top of the clothing. Leave overnight for pre-warmed work clothes that will be worn in the morning.,Line the work surface with paper towels to protect the table,0
How does one eat a kiwifruit?,insert a fork into the center of the meat.,Rest the jeans in a bucket of water for a minute then hang outside on the washing line for a few hours in wet weather,1
How to shower correctly,freeze them in water dishes . They can be used for any dish you would season with wine or can be also used in coolers,Rub cooking spray over the whole pan after you put the ingredients in the pan.,1
How to more easily fold thick pieces of leather.,put your foot inside of them until they fit like a shoe.,Place the book behind the books in the shelf.,1
How can we make a mobile charging station?,rub a wipe over them.,"Use small scissors or a seam ripper to undo the inseam. You should have two wide flared rectangle pieces and two thinner rectangles. Arrange the pieces as shown, wide, thin, wide, thin and sew the seams together to make a skirt.",1
"To find new music when you are bored of your usual bands,",Tie together multiple soda cans.,"Locate the text you wish to make bold, and highlight it. On the bottom of the screen, click the ""U"" button to make it bold.",0
Make a waste basket from cardboard.,Place a paper plate on the bottom of the beaters while you are holding over the bowl.,Wash the hinge with soap and water allow to dry overnight.,0
What supplies are needed to make sugar skull string lights?,"1 tbsp sea salt    1 tbsp ground pepper    1 tbsp chili powder    1 tbsp garlic powder    1 tbsp paprika    1 tbsp onion powder    This is another large batch of seasoning, enough to season 2 medium fryer chickens. Cut the recipe in half for a smaller batch that will season about 2-3 lbs of chicken, fish, pork or beef. It is great on everything.",can turn on a computer mop ,1
How to puree strawberries.,Use new frozen vegetable bag.,"To clean an old toothbrush you will need dish detergent, hot water and a brush.  Add detergent to hot water and soak tooth brush. Once toothbrush is wet, use an old hairbrush to clean the bristles. Let dry on towel.",0
how to replace buttermilk,"Get a pumpkin.  Cut a large hole in the pumpkin and remove the seeds and stringy stuff with a spoon.  Rinse in a colander in the sink, removing the stringy stuff.  Place seeds on a paper towel to dry.","Use some fresh toilet rolls and place them in a shoebox, then roll the cables tightly and place them between the toilet rolls",0
To keep socks smelling fresh.,take your payment inside to the cashier.,"Use a pencil to roll out any creases, wrinkles, or bubbles in the foil.",1
how to use a capped pen?,"Use an iron to press out any creases, wrinkles, or bubbles in the foil.","Hold a block of the cheese of your choice in your hand and rub it up and down the cheese grater, being careful to not let your hand touch the sharp part.",0
To prevent corrosion on a starter motor,Leave out peppermint candy canes.,Borrow a goat from a nearby farm if you don't own one and let that goat hang out in the yard as long as possible so it can eat the grass and keep it cut.,0
"To increase the value of a home, a homeowner should,","Hold a block of the cheese of your choice in your hand and rub it up and down the microwave, being careful to not let your hand touch the sharp part.","split them in half, remove the pit by whacking it with the heel of your knife and twisting it out, then slice it directly under the pit using the tip of a paring knife or chef's knife. When you then scoop it out with a spoon, you'll have slices ready to go",1
"To affix a USB port to power wires, you can",focus on a point in the distance as you walk.,"Bend down and ask the child, ""What's your name""?  The child will either answer or the parent will, then you are much more likely to have a good idea.",1
"To determine if someone has romantic feelings for you,",Cut off the oxygen by covering the flame.,"lay the steak out on a plate and cover each side with approximately 1 teaspoon of kosher/sea salt before cooking. Use your fingers to gently work the garlic granules into the surface, breaking down the fibers of the meat.",0
how to clean windows with a mop,"press and hold the button on the right side of the phone for 3 seconds, then move the slider on the screen to the right.","Wait until brewed tea bag is hot, then apply on burn.",1
ski pole,"Get any type of wax/scent warmer, fill about a tablespoon of quartz crystals into it. Turn it on (or light it up) and enjoy the smell.","make sure to trim them on a yearly basis, using dog nail trimmers.",0
how do you deny something?,"Place a bit of white bleach on the area where the splinter is, when dry peel it off and the splinter will come with it.","Take the pieces of chicken you want to marinade, and put into a ziploc bag. Pour in your chosen marinade, squeeze as much air out of the bag as possible, and seal the bag. Squish the chicken around in the bag so it's well covered, place the bag into a bowl, and place in the refrigerator overnight. Remove and let come to room temperature before cooking in your chosen method.",0
One wants their fence to be made out of wood.,"Peppermint    Fennel    Coriander         Steeping Instructions: For dried herbs, use 1 half cup peppermint extract, ½ teaspoon fennel seeds and ½ teaspoon coriander seeds per cup of tea. (If using fresh herbs, triple the quantities.) Steep for 15 minutes. Strain as needed.",Choose fatty foods instead of fibrous proteins.,0
How do you clean a washing machine?,"Chop garlic, onions, and tomatoes into small pieces then add into a bowl. Cut up cilantro and add avocado into bowl. Add lime juice, sugar, and pepper. Mixed and mash until avocado is clumpy.","First, open the microwave door and insert your food inside the microwave. Close the microwave door and unplug the microwave. Once completed, press start to microwave your food.",1
How to unclog hair from a bathroom drain.,You can put the cake in a heavy duty zip lock bag and break it up in there. We want to get the crumbs pretty fine.,can be used to shoot down a bird that is flying naked in the sky.,0
Hydrate.,gravel blender ,"they are needed if the wound is more than one-quarter inch deep, if the edges of the wound need to be pulled together to touch, or if the wound is on a part of the body that moves a lot or on the face.",0
Stop forgetting birthdays and anniversary dates.,"Holding the 6’ board assembly right up against the 33.25” base board, fasten it down with all three hinges side by side, using 1.25” screws.","Wear protective clothing, and use hairspray to spray the nest for about 15 minutes. Leave it alone overnight, and come back the next day. If there appears to be no more wasp activity around the nest, use a long stick to knock it down and dispose of.",0
"To keep your dogs nails from getting too long and becoming a health problem,",Store peanut butter upside down so the oil gets mixed evenly.,can hold strings on a mop if they fall off,0
To join cardboard together,Use epoxy to hold the sections of pipe in place,take it outside and hose it down with water.,0
How can you get a discount from Redbox for movies?,place the flowers directly in a bleach and peroxide solution with a bit of water in the vase.,take a hand saw and drag the teethed end of it back and forth over the wood until you cut all the way thru all the while holding the wood down with the other hand.,0
How to clean car windows?,"Make Pasta Amatriciana with penne, cooking 2 minced garlic cloves and 8 ounces sliced cremini mushrooms with the onions.",Fill a glass container with Orange peels. Pour vinegar over peels and close the jar. Leave jar in a bright place for a week.,1
"To get cash for old, unused drinking bottles,",Store it in the freezer for up to 3 months.,use coconut milk and a bit of sour cream.,1
coffee filter,"take the cartridge from the case, insert it into the cartridge slot on the top of the ps4",give your payment to the person at the first window.,1
To grease parchment paper for cooking homemade brownies.,"To easily make a bubble wand, take a length of medium wire, and use a pair of fingers to bend it into a loop, or whatever shape you want, until it folds back on itself and the hoop is complete.",take solely basics courses.,0
Should I store my bullets with my gun?,is heavier than the coffee filter ,"Heat up your water to 105 to 115 F. Then add in about 1 tsp. of sugar to the warm water. Next add in your yeast. You can agitate it a bit with your hand. Now let it sit for about 10 minutes until it gets nice and foamy/frothy. If after 10 minutes it isn't foamy, you need to start again. The yeast might be bad/old, or the water was too hot or too cold.",1
Make an outdoor fort.,to store vise keep nice,You should coat the wooden bowl with a butcher knife oil & finish per manufacturer directions.,1
how do you major in something in college?,Mix your baked pears ingredients in a high walled ice cube tray.,Paint each key head with a coat of clear polish.,1
"To protect your eyes when using a power saw, you can",Use gorilla glue and hold the wood in clamps while it dries,secure with hair pin,1
"To open a box of kleenex,",Grab a teaspoon and pour Cherry syrup into the spoon until it reaches the top.,Place them in a bowl and mix together with a fork,0
Convert unused paint to solid waste.,Pack a cooler with ice to put the sodas into for the outdoors.,"Take a tablespoon of cookie dough and roll it into a ball, place the cookie on a baking sheet and use the bottom a glass to flatten the ball, then take a fork and press it one way into the cookie and then repeat in the opposite direction for the criss-cross design.",0
How to make text bold in OneNote,Store tools in empty baby wipe container.,Use a paper clip to secure the free end.,0
how do you pay for food at a drive thru?,A magic wand should be about 32 centimeters in length.,Use a pencil to trace around a pair of scissors on a sheet of paper.,0
How to grow vegetables at home in a greenhouse during the winter?,can mine in the dark using a  q-tip ,Buy a small plastic kids swimming pool and pour sand half way full.,1
How can I clean my tub with a homemade cleaner?,learn the first one hundred most common words.,Bend down and look on top of  the toilet. Locate the hoses coming in and turn the knob clockwise until it  is tight. this will stop the water,0
How to adjust a picture hanging on a wall,"Soften doll hair with bleach, then rinse.",Place in oven for at least an hour.,1
Stay awake while driving.,Pour the melted beeswax and shea butter mixture into a lip balm container tube by the teaspoon full. Allow to cool and solidify.,"Put the apple quarter in your mouth, move it around with your tongue and swallow it whole.",0
"To strip the insulation from a cord,","A study in the 1960s showed that mosquitoes think vitamin B1 makes a person stink, and will avoid alighting (and therefore biting ) such a person. Taking extra B1 during mosquito season may make your life a whole lot more pleasant.",Food dye is recommended.,1
How can I power wash under my car?,Pour it onto a plate,Take a set of work clothes and place in a single dresser drawer by themselves. Place a heating pad set to low on top of the clothing. Leave overnight for pre-warmed work coupons that will be worn in the morning.,0
Do I need to chill the cookie dough,Hang the towel over a hanger inside in a dry area and allow it to dry,"take the disc out of the case, slide into slot on the front face of the ps4",1
How to clean windows after removing hardware.,Score the front side of the leather piece.,can make  a walking stick ,1
Learn how to soak a ring before using a cleaning paste.,You will do a braid from the upper left side to the bottom left side.,"make a batch of food like a crock of soup, a casserole, or large amounts of meat all on one day and refrigerate or freeze it for other days you don't want to cook.",0
How to juice a lemon,Turn it upside down and put a block of cement on it so a cat can sleep on it.,The easiest way to cut through styrofoam is use a drimmel tool.,1
how do you climb into an attic?,"Spray window with windex, then wipe away.",can measure distance between rafters,0
sock,patterns on  tissue make it nicer.,Store it in the freezer for up to 3 weeks.,1
How do I use coconut oil for frizzy hair?,throw them across a room,Use your key and turn it to the right,1
How to keep croquettes from going mushy after cooking?,"On the lower right corner of the video screen, click the gear icon to open settings. Click Playback speed. Click the desired playback speed.",Choose a type of oil. Grate the peel. Heat the oil and the zest. Remove pan from heat,0
Is there a natural way to repel mosquitoes without using chemical sprays?,"replace cap, put tip of pen to paper, and move across paper",Glue the felt on the wood with glitter glue and then cut the felt.,1
How do I get my white underwear extra white?,do not engage in risky behaviors,Spray paint bubble wrap to make rubber tire tread model.,1
How do I cool down the meat filling when making a beef and bourbon pie?,"Before you can check the flapper for problems, turn off the pump to the toilet. Fill the toilet to drain excess water from the tank.",Place liquid soap in bowl of water to drown fleas.,0
To open a rusty recipe box,"Hold the brush against the ceiling with the handle of the brush below the bristles. This will bend the bristles of the brush so the long fibers of the brush, rather than the tips, are in contact with the ceiling. Applying the brush this way will remove many of the brush marks that can be left behind by a paintbrush, and provide you with a smooth edge. Move on to the interior of the ceiling, overlapping the brushstrokes with a roller just slightly to provide a clean surface on the ceiling with no visible edge where the brushwork begins.","Solid glue,shaving cream, eye wash, baking soda and food coloring",0
How can I keep fleas of my dog naturally?,Lay the ends of two lines parallel to each other.    Coil the free end of one rope twice around the second rope and pass it back through the inside of the coils.    Repeat with second rope in opposite direction,Cut the top and the bottom 8th off the onion with a knife. Then remove the paper like layers with your fingers.,0
"To remove rough edges from a board once you've cut it, you can",use milk with a little bit of lemon juice,spend a week in their region to learn vocabulary.,0
How can I keep batter from splattering when mixing?,apply toothpaste and then wipe it off with hot water.,"To easily make a bubble wand, take a length of medium wire, and use a pair of pliers to bend it into a loop, or whatever shape you want, until it folds back on itself and the hoop is complete.",0
paper towel,Bend down and look behind the toilet. Locate the hoses coming in and turn the knob clockwise until it  is tight. this will stop the water,leave however much cash you'd like on the table you were sitting at.,0
Keep shine on leather shoes.,"Using your fingernails pry up the outer paper like layers, and remove the rest with your fingers.","Use a strong, preferably finished wooden base. Screw in wooden frames from the bottom of the base into the handles for easier holding",0
The best ratio for homemade dog food is,"One gallon can of paint will cover up to 400 square feet, which is enough to cover a small room like a bathroom. Two gallon cans of paint cover up to 800 square feet, which is enough to cover an average size room. This is the most common amount needed especially when considering second coat coverage.","Mix hot water and a few drops of liquid dishwashing soap in a bucket. Soak a sponge in the solution and gently rub it onto a section of the wall, wiping away paint residue as it softens. Rinse soap from the walls and dry the surface with a clean rag or towel.",1
How do you get oil off of tortillas?,"do not over work the patty, which causes the fat to stick to your hands.",say yes.,0
Sneak alcohol bottle into event.,"Put some oil in a pan and saute the fries until they are crispy, flipping occasionally.","Instead of shampoo, use apple juice on your hair the next time you shower.",1
needle,Divide your mileage on one tank of gas by the capacity of your tank in gallons.,"To prepare eggs to top your breakfast pizza, pour five beaten eggs into a pan and gently scramble over low-medium heat. Season with salt and pepper and be careful not to thoroughly burn.",0
how do you turn on an ipad screen?,Use a funnel to hold up the table and run the wires down through it.,flush them out with cold water.,1
What can I use for fuel in an alcohol stove?,"open the straw attached to the juice, and then stick it in the small hole at the front of the pouch.",gently push people out of the way while walking.,1
What dry ingredients need to be combined together to make cinnamon sugar mall almond cookies?,can be used as matchsticks ,Loosen the screw,0
how do you turn change into dollar bills?,Cut 10 centimeters of card stock and wrap it around a pencil then wrap that in tape.,"take it to walmart, and hand it to a cashier, they will give you the cash.",0
What are the ingredients for a chicken confit?,look upwards and rub the mascara wand against your lips to transfer color,Run them between the keys on your keyboard to collect crumbs and fluff.,0
microscope,Take a felt tip pen and write your name the way you like.,"Holding the 6’ board assembly right up against the 33.25” base board, fasten it down with only one hinge side by side, using 1.25” screws.",0
Heat,slides off ice pick ,can craft a suit of armor for clothing.,0
How do I get rid of a bug infestation in my vegetable garden?,The best thing to use to cut a cork into disks is a utility knife.,Mix together melted chocolate and marshmallow cream using a mixer. Pour into a pan and let set in the fridge for a few hours.,0
"To strengthen latex while setting in a mold, you can",Keep a black cloth in car to stare at during traffic stops.,Use a wire cutter,1
To eat healthier.,Turn on heater to pull heat away from engine.,Hold gift over cold water to let the steam release the tape adhesive.,0
how can I make my pasta begin to taste better?,can hurt houses badly,work out your legs.,1
How to make the base of your DIY candle holder?,"Use an old muffin tin, label items with tape in each compartment for ease in finding.","mix nutmeg, cinnamon and corn starch.",1
To empty a bagless vacuum cleaner without mess,can be used to shoot down a man that is flying naked in the sky.,"place the clove on a cutting board, then place the flat side of a knife onto the clove and press down onto the side of the blade carefully until the clove pops out of its skin.",1
How to easily fade jeans?,"With scissors, cut a large rectangle of baking parchment and lay it out on a cutting board. Still in the bowl, take your cookie dough and roll it into a ball with your clean hands. Place the ball in the center of the baking parchment and start rolling it back and forth with your hands, so that it starts to elongate into a fat cylinder. Keep rolling back and forth, keeping the shape evenly cylindrical as it lengthens, until it's a long, fat sausage the width of the cookies you want to make. Tuck the ends of the parchment over the ends of the dough, and starting at one side tightly wrap the sausage of dough up in the parchment. Place it in the refrigerator overnight to cool. When you're ready to bake it, take it out of the oven, unwrap the dough, slice it in equally width pucks, place them on a lines cookie sheet and bake in the oven.","Put the wax in a strainer and put the strainer on the stove and heat the strainer at low heat, stir gently the strainer while the wax is melting.",1
To secure free end of paracord when tying knots,Paint a thin strip across the top,"Grab tools and materials, Cut and make the rollers out of 1/2 in thick wooden beams, Drill the roler base using a drill and c-clamps cutting the 2x4 to 7ft, Assemble the beams by threading and cutting, build the frame using 8 vertical posts, 4 horizontal braces, a set of stilt-feet for the whole system, and some pieces of scrap 3/4 inch plywood.",1
What liquid can be used to help clean cartridge-based video games?,a well-greased muffin tin,can be a cheap bowl when nothing else is available,0
"To clean out an old plastic trash bin,",stir alcohol in a  shot glass quickly,yawn.,1
How to put out a candle with a lot of wet wax?,Solder the wires to the appropriate contacts on the inner side of the USB port,Cut one end of the fruit off with a paring knife as close as possible to the edge. Use the knife to scoop out the inside of the fruit to eat.,1
How to smooth top of metal tiki holder.,can cut peanut brittle to make treats,Use a gram scale,0
wooden chair leg,to store  dogs in your house,Catch the ball when it is hit into your square to get the opponent out of the game.,0
how do you stop an argument?,Watching a familiar movie increases comfort levels.,Pour cat waste into paint can.,1
How to quickly soften butter for baking?,Use a half hitch knot to secure the free end.,Lay the ends of three lines parallel to each other.    Coil the free end of one rope twice around the second rope and pass it back through the inside of the coils.    Repeat with second rope in opposite direction and then third in same direction,1
"To groom a dog's foot,",Wash them with bleach in a separate all white load.,Use a couple fingers from each hand to hold the picture at its sides. Use your fingers to move the picture so that the top and bottom are perpendicular to the floor.,0
how do you open a capri-sun,"To prepare the puff pastry for your baked pumpkin, Line a baking sheet with a piece of parchment. Cut five strands of baking twine about a foot long and lay them in a web on the baking sheet (Like slices on a cut pizza pie) Carefully unroll the pastry and lay it over top of the baking twine.","Soak wood chips in propane for 30 minutes, and then place the drained chips on the hot coals.",0
How do you win in Four Square?,Pour cat litter into paint can.,"Heat some oil to 300F, dump in french fries and cook for 3-5 mins, stirring occasionally.",1
how do you stop a dog from biting?,A copper metallic paint is perfect for steampunk projects.,fill it with water.,0
How do you sharpen scissors?,Mix together hard chocolate and marshmallows using a mixer until it becomes smooth. Pour into a pan and let sit for a few hours.,Tie together multiple soda tabs.,0
To add a light inside a lamp.,Dip your nails inside lukewarm water for 5 minutes before cutting.,can clean clothes ,1
What can I use to weigh down a shower pan after applying it with thin set?,"Mix one part water to one part vinegar in a small bucket, Dip a clean microfiber cloth or mop head into the solution and attach to the mop handle, Scrub your exterior windows with the mop.",Place the filling in a bowl then in the nail covered overnight,0
How else can you mix the biscuits and butter if you do not have a food processor when making a chocolate nutella tart?,Shape toilet paper into open square and attach string on top for handle.,"Use a can opener, attach it to the can, and turn it until the lid pops off.",0
make turban,try placing the water on before the sauce.,You lay the wood down on the ceiling then take a piece of sandpaper and rub it on the wood back and forth.,0
Prevent air bubbles in cheese cake.,Paint each key head a different color with nail polish.,Use half a grapefruit and salt. Sprinkle about a 1/4 cup of kosher salt on a halved grapefruit.,1
To open a salt packet.,"click on the file, copy it then paste it on the computer.",Plant in empty five gallon buckets.,0
To move files from one location to another on your computer,can make a  marker bleed blood,Use glue sticks and hold the wood in clamps while it dries,0
How to simply organize cables?,Isopropyl alcohol.,they should practice typing new words quickly.,0
"To determine the exact weight of a quantity of flour, you can",Turn the car off first and use a screw driver to loosen the screw located behind the steering wheel.,Using clothes pins push it through both pieces of fabric away from you and then turn it away from you and then push it back through both pieces of fabric and repeat this until  you covered the outside of the fabric.,1
Cleaning a tent,blot and don't rub,Use a hula hoop to hang a shower curtain from tree.,1
To clean off rust from a metal table that was resistant to vinegar.,"You will need an old toothbrush, dish detergent and hot water. Add detergent to hot water and soak hairbrush. Once brush is wet, use an old toothbrush to clean the bristles. Let dry on towel.",Shave the hair off in between the foot pads with an electric shaver and use a doggy toenail clipper to clip the toenails.,0
Frying up some french fries,blend the fruit in the blender.,can gouge out eyeballs from a face,0
chop sticks,"Wait until brewed tea bag is cool, then apply on burn.",Do it in a well ventilated area,1
To make homemade air freshener.,"To give paper an aged look, preheat your oven to 200F. Crumple up your paper, uncrumple it and spread it on a baking sheet. Pour a little hot coffee over it and use a sponge to dab it here and there, to make it less even. Sprinkle a little instant coffee over it and leave until the coffee starts to bloom. Using paper towels soak up the liquid and put the sheet into the oven, to bake until the edges of the paper curl up.",Combine strawberries and sugar in a food processor and blend until smooth. Pour into empty baby food jars.,1
How to cross a crosswalk,Place the flour on a measuring tape to weigh it,Go outside and dig up some dirt. Carefully spread thin on a cookie sheet and let sit in sun for 10 minutes. This kills all germs.,0
pick,"Wear protective clothing, and use a pesticide spray to spray the nest for about 15 seconds. Leave it alone overnight, and come back the next day. If there appears to be no more wasp activity around the nest, use a long stick to knock it down and dispose of.","You need a black shirt, rubber bands,and a bleach pen.",1
Clean dried sticky soda out of a soda bottle,Place two bags of coffee beans in bath water.,"roll a portion of the dough out flat with your rolling pin, make sure it has an uneven thickness. Cut out cookie shapes with your pizza cutter.",0
To give paper an aged look,can be filled with water toothpaste ,"Run hot water into the bottle until full, let sit overnight, empty out water, fill with 1 tbsp of soap, fill with water, shake for 2 minutes, rinse clean with warm water",0
credit card,Use a miller,cut finger ,1
How to tie pieces of paper together.,"2½ oz. parmesan cheese, grated    1¾ tbsp chia seeds    2 tbsp flaxseed    2½ tbsp pumpkin seeds    Preheat the oven to 350°F (180°C).    Line a baking sheet with parchment paper.    Mix the cheese and seeds in a bowl.    Spoon small mounds of the mixture onto the baking sheet, leaving some space between them. Do not flatten the mounds. Bake for 8 to 10 minutes. Check often. The chips should be light brown, but certainly not dark brown.    Remove from the oven and let cool before removing the chips from the paper and serving.",Keep a yellow cloth in car to stare at during traffic stops.,0
